class,text,hate
Hate,#wakeup #spain stop #illegalimmigration #sendthemback ,1
Hate, long takes #buildthatwall,1
Non-Hate,know rights defend rights come join training focuses building sustainable community resistance increased violence communities color amp immigrant communities aug ampm open sign ,0
Non-Hate,us army quietly discharging immigrant recruits ,0
Non-Hate,libya let #europebound migrants die mediterranean rescue group says ,0
Hate,danger treasonous individuals paid soros globalist #lockherup #buildthewall #boycottnike #boycottnfl #enddaca ,1
Hate,good news illegal aliens claiming fake asylum deported record numbers #heretostay #immigration #rednationrising #trump #maga #sendthemhome via ,1
Non-Hate,got offered neighbor go church street amp thought found week later priest sexually assaulting immigrant women amp threatening call ice told sign stay w little shrine room ,0
Non-Hate,little boy blew shofar welcome new immigrants arrive home israel arriving us russia france argentina brazil watch story #shabbatshalom ,0
Hate,good morning patriots xx let everything done mind#walkawayfromdemocrats #buildthatwall #maga #chooselife #votedemsout #redwave #midterms #votered #tinylivesatstake,1
Non-Hate,refugees actually come normal circumstances #america #unitednations ,0
Hate,german government pays week vacation refugees go home #muslimimmigration german government isnt paying german taxpayers paying german government robbing native germans finance islamization germany ,1
Non-Hate,started hashtag theres certain type immigrant germany doesnt like wants humiliate group rt think able stay finish bahnhof renovation danke #neogermans ,0
Non-Hate,funny trump hasnt trouble getting visas immigrant labor clubs ,0
Hate,great article #refugee crisis europe driving question europeans make stop refers humanitarian drama forcibly displaced ability reach europe ,1
Non-Hate,issue #humantrafficking came back forefront following death #indonesian maid #malaysia ,0
Non-Hate,uber become racist organization immigrant deactivate account even five star driver plus star claiming reports unfounded warning like,0
Non-Hate,canadian refugees ,0
Hate,gofundme hundred million dollars build wall along border side farm #buildthewall #buildthatwall #buildthedamnwall,1
Non-Hate,lets talk immigrants fighting fires starting photo marcus yan los angeles times ,0
Non-Hate,planning immigrant children kidnapped slavery sex traffic organ harvesting,0
Non-Hate, kids illegal immigration put temporary detention centres put dont go full prison parents authoritarianism surprise cross,0
Hate,illegally breaking law laws states get deported choice dont get come us illegally feel entitled demand stay ake jobs citizens steal us resources #trump #maga #sendthemhome ,1
Non-Hate,austria holds drill simulate repelling illegal migrants border ,0
Non-Hate,new trend started everybody collecting money syrian refugees without control govt agencies ,0
Non-Hate,#philippines backs longoverdue un migration pact #unitedstates #unitednations ,0
Hate, bit toungue l heard syrian refugees complain rothsey maybe someone swop high rise,1
Non-Hate,#ice #illegalaliens #border #immigration #bringbackourborders#oakland mayor #libbyschaaf warned everyone ,0
Hate, illegal aliens commit felons id ssn welfare theft illegal #immigration victimless crime ,1
Non-Hate,new story #hostileenvironment homes nhs schools unisampmore heres film amp links research since #gohomevan download book ,0
Non-Hate,isnt ann coulter worried losing credibility saying something like immigrant kids shown cages child actors jim henley ,0
Hate, bio says #buildthatwall,1
Non-Hate,compromise migration dispute threatened merkels govt ,0
Non-Hate,guess koch brothers funded racist tea party marches longer needed republicans ruin economy amp press democrats fix economy obama obstructed republicans help #sendthemhome #dontboovote ,0
Non-Hate,ive pledged make sure surgery safe space free #hostileenvironment im mp border guard ,0
Non-Hate,aquarius boat resume migrant rescue mission ,0
Non-Hate,max mosely son fascist leader sir oswald mosely firstly seems common practice get knighted fascist britain second hes given awful lot funding tom watson ,0
Hate,south koreans stand islamic immigration via ,1
Hate, blood #democraps hands sure #buildthatwall,1
Hate, time end obama illegal #daca stop rewarding illegal i#mmigration us youths need #jobs #americansfirst #trump #maga #rednationrising #walkaway via ,1
Non-Hate, problem #sendthemhome,0
Hate, need army #stoptheinvasionwhere important defending national border constant onslaught hostile foreign invaders,1
Hate, listening world service criticism israel wanting deport young african male migrants maybe evidence europe like france france many settling turning crime better truth living lie,1
Hate,daily migrant invasions #migrant #buildthewall #illegal #trespassers #sendthemback ,1
Non-Hate,judge orders government release immigrant kids texas shelter texas tribune ,0
Hate,europeans waking even ordinary people beginning take action immigration youtube ,1
Non-Hate,apparently dutch red cross trying raise funds repatriation syrian refugees seems premature irresponsible ,0
Hate,homes use look beautiful full effort mass produced fit third world immigrants,1
Non-Hate,spains overwhelmed coastguard says cant cope migrant influx rescued one ,0
Non-Hate,fox scumbag laura ingraham claims trump protecting immigrant children drug abusing child trafficking parents read story #impeachtrump #resist #voteblue #gopscum #foxlies ,0
Hate, say #buildthatwall#buildthatwall #buildthatwall #buildthatwall #buildthatwall#buildthatwall #buildthatwall #buildthatwall #buildthatwall#buildthatwall #buildthatwall #buildthatwall #buildthatwall#buildthatwall #buildt,1
Non-Hate,pope exposed direct involvement italys migrant crisis leo zagami ,0
Hate, god bless ice thank getting illegal aliens sovereign country streets #nosanctuarystates #nosanctuarycities #nodaca #noamnesty #nocommunists #nosocialism #americafirst #americansaredreamerstoo #maga #kag,1
Non-Hate,government filed paperwork judge saying aclu clients bear much responsibility finding deported parents central america ,0
Hate,need even buy products biggie love trump period #buildthewall #lockthemup #enddaca ,1
Hate,illegal alien unlicensed drunk driver rams ambulance kills year old rushed hospital #enddaca #noamnesty #enforceuslaws#keepamericasafe#deportthemall,1
Non-Hate,fearless kind get know neighbors mandy manning national teacher year friend teaches #refugee #immigrant students read story xd ,0
Non-Hate,stakes whats happening immigrants trump targeting exaggeration say trumps detention deportation machine lifeordeath issue immigrant families #familiesbelongtogether ,0
Hate, good one government predicts immigration overtake new births dominant driver population growth predicts causes failure stop #buildthedamnwall,1
Hate, need wall mr president dont listen lifetime politicians listen voters #buildthatwall,1
Hate,algerie send clear message refugees refugees leaved desert without water today time till die stop refugees try went territory republic algerie ,1
Non-Hate,christians among syrian refugees resettled #uk ,0
Non-Hate,labor migrants transfer almost billion year ukraine ,0
Non-Hate,sharia law tessa tony blairs wife let islam law country stupid woman stupid promises cant keep,0
Hate, accurate diversity greatest weakness unity strength united stand divided fall #buildthewall #deportthemall #stoptheinvasion #americafirst,1
Hate, asylum seekers enter legal #usa port entry enter illegally separation occurs breaking american #immigration law #wakeup #democrats lies #walkaway #maga #buildthatwall,1
Non-Hate,#libya humanitarian repatriation #illegalmigrants asked go back home countries ,0
Hate,#buildthatwall,1
Non-Hate,pallywood aegean caught act film crew staging fake muslim migrant drownings sea greek island crete via fake news,0
Hate,say loud say clear illegal #immigrants welcome ,1
Non-Hate,chances #rohingya refugees may benefit parliaments shake still slim #ucanews #voiceforthevoiceless #refugees #socialjustice #myanmar #aungsansuukyi ,0
Non-Hate, need moratorium immigration legal otherwise esp noneuropean countries,0
Non-Hate,true #women#dalits#muslims#illegalimmigrantsall vote banks #votebank ,0
Non-Hate,immigrant youth #heretostay ,0
Non-Hate,passion place amp purpose sat sept book methodists dismiss complaint jeff sessions using bible defend family separation ,0
Non-Hate,build wall undocumented immigrant arrested connection rape yearold girl,0
Hate, stop immigration muslimcountries quick,1
Non-Hate,implemented well could good news philadelphians ,0
Non-Hate, stand woman cologne add france seems young arab immigrants want isis abuse deport jail,0
Hate, americans want safety security illegal drugs gangs criminals st#buildthedamnwall #buildthatwall,1
Non-Hate,problem books referred written years ago massive changes china definitely mass emigration us perhaps opposite ,0
Hate,wonder many refugees accused fraudit permeates whole program ,1
Hate, current #gop #congress doesnt care #americans think want obamacare support mueller investigation dont support tax scam want #responsibleguncontrol dont want #buildthatwall stop voting,1
Hate,border agent killed partner injured illegal immigrants using rocks report says #preventabledeath,1
Hate,trump means immigration europe destroy europehes right alive new president makes good job usa european rulers housedogs make everything like ,1
Non-Hate,#eu offers states funding take migrants ,0
Non-Hate,zuckerberg facebook wont delete holocaust denial posts ,0
Hate,#dobbs #budget #congress #presidenttrump #appropriations #buildthatwallif much wall secured away congress extracted negotiations daca limiting chain migration visa lottery etc well meritbased immigration principles raiseact,1
Hate, bangladeshi nationals apprehended near texas border weeks via #noamnesty #deportillegals #buildthatwall #trump #maga #masa,1
Non-Hate,italy tests eus hailed migrant agreement conte refuses accept rescued migrants ,0
Hate,gets hot life accept female climate refugees regime renounces patriarchal ways otherwise let roast,1
Hate,scroungerssoldiers coming create caliphate create chaos go home look girlfriendswiveskids fighting age last thing refugees bugger bye bey cheers ,1
Non-Hate,result industrial scale #immigration quite unprecedentedinflows people lowerpaid work negative impact wages lowest paid bank england confirmed #brexit #brexiteers #brexitbetrayal #brexitshambles #bitcoin,0
Hate,easy solution benefits child wife votes st nd generation immigrants simple solution combined benefits guarantees jobs homes unless apply arrival soft touches ps gulf states saudi intake refugees ,1
Hate, steinle murdered illegal mexican immigrant july ,1
Hate, solarpowered laser stations along entire southern border live cams watch barbecue faster buildthen call #operationcookout#maga #qanon #buildthatw,1
Hate,cultural diversity american culture fastly becoming minority culture ones required take cultural diversity training one america without learn american culture #buildthatwall #ice #scotus #trumprally,1
Non-Hate,media silence ,0
Hate,mean asylum seekers criminals whaaaaasaaaaaaaaa #liberallogic #closeborders #deportillegalimmigrants #buildthatwall,1
Non-Hate, eu core relatives migrants came last year reunification little sisters wanted new limits month bt embassies already report new requests end delusions merkel csu#visegrad #v ,0
Non-Hate,report immigrant deportation separation lifelong impacts #chicagotonight ,0
Non-Hate,refugees spying attacking media putting immigrant kids cages war nice w murderous dictators neglecting black community amp mass deportations things trump accused obama actually guess holiday amp nobel peace prize #stopthebias ,0
Non-Hate,#eu migration policy killed refugees sea far year ,0
Hate, ignore role immigration invasion white genocide housing disaster isnt irresponsible criminal,1
Hate,poland country safe havent taken refugees ,1
Hate,right prefers illegal migrants law breakers american citizens would never vote ,1
Hate,max mosley published byelection leaflet saying coloured immigration threatens childrens health ,1
Hate,sheer racism bigotry israeli lawmaker oren hazan black african refugee theyre getting married kids well stop dont even culture need destroy problem still small #israel ,1
Non-Hate,hoping reconsider many things esp #immigration ,0
Non-Hate,anyone michigan able drive immigrant family detroit chicago wednesday group driven moms across country reunited w kids family needs help picking documents chicago dm details ,0
Non-Hate,two things learn article people pushing wheelchairs airports basically work tips dont neglect show appreciation huntleigh usa corporation sucks ,0
Non-Hate,continue serve immigrants refugees memphis midsouth across country ,0
Non-Hate,pursuing reckless irresponsible course action us creating situation hardship cruelty palestinian refugees,0
Non-Hate,moscow pressuring west fixing country syria broken russia iranand client assad regimeit form blackmail either lavish reconstruction funding regime refugees wont go home amp may arriving ,0
Non-Hate,#eu migration policy focus ,0
Non-Hate,missed last week probably stay relevant quite made killing convincing towns pass antiimmigrant ordinances mostly unsuccessfully defending ,0
Non-Hate,#rt #autumnlady mara mcclain young irish immigrant looking begin anew victorianera san francisco california gold rush #amazon #romance #grbooksu #mustread #histfic #bookboost #bookworm #goodreads ,0
Hate,fleeing lives migrants trek us tell reps refugees immigrants via ,1
Non-Hate,change air mainstrem media even calling violent iraqi immigration status refugee ,0
Hate,daily refugees come eritrea first want better life second military service needs long accepted eu wrong come pay illigal coorruption help ,1
Non-Hate,damning un report reveals state global refugee crisis ,0
Non-Hate,anyone spent time europe canada usa last two descades know australias problem isnt migrant numbers inaction infrastructure development roads public transport closer indias,0
Hate,mn somali muslim immigrants explain acceptable kill anyone insults mohammed via dont worship mohammed amp sharia dont like go home deport,1
Non-Hate,raheem kasam incredible reports germany commandos foiling terror plot muslim migrant stockpiling ricin shrapnelpacked ,0
Hate, keep illegals lock broke law dont let infect aemricans diseases #notmoreillegal#trump #maga #immigration ,1
Hate,immigration gone crazy trainee doctors abroad nurse practitioners equivalent get pain peanuts trained come uk,1
Non-Hate,photos obamas illegal immigrant detention facilities media wont show via ,0
Hate,ridiculous lots usa citizens dont even earn much money working try support refugees need go home ,1
Hate, iligal refugees go home kids,1
Non-Hate,trump pick lead un migrant group pushed fear sharia law ,0
Hate,immigrants come legally like milion every year cross border illegally dont blame us illegal actions aidos #trump #maga #rednationrising via ,1
Non-Hate,law undermines honest efforts legal immigrants seeking american dream #sendthemback ,0
Hate,#buildthatwall cant afford dummies cant make,1
Non-Hate,congress must aid abet administrations shameful treatment immigrants time demand moral compassionate system ,0
Non-Hate,italian priest says antiimmigration matteo salvini antichrist via ,0
Non-Hate,philippine catholic bishops work migrant workers focus families paying great ,0
Hate,uk polish immigrants returning home cite fear terrorism antiwhite racism blacks via ,1
Non-Hate,dc dprinted guns subject background checks gover via ,0
Non-Hate,xf million refugees fled home countries thats biggest increase seen single year ever,0
Non-Hate,watch refugee says sweden first country convert islam europe free speech time ,0
Hate,raping europe muslim rapefugees hell sweeden betrayed feminazi government sodomites swedish dentist fired reporting refugees patients via ,1
Non-Hate,great article mexican born wild land firefighters saving property trump country shasta co bad fall upon deaf trumpers ears ,0
Hate,forbidden france say french people first illegal migrants ,1
Non-Hate,crazy warminister von der leyen thinks weapons bring peace mali niger less refugees never weapons bring peace ,0
Non-Hate,subterranean moneymaking real globalism use domestic politics keep world safe oligarchstyle dealmaking distract people religious antiimmigrant nationalism protect oligarch network mueller details ,0
Non-Hate,look refugee migrant camp ahead eu meeting ,0
Non-Hate,republican antiunion bill goes flames missouri ,0
Hate, stop wasting taxpayers money illegal alien #immigraiton programs cost million kill program #sendthemback faster #trump #maga #rednationrising #gop,1
Non-Hate,sometimes living country right feels like kind fever dream even background context without doomy music story still harrowing beyond belief ,0
Hate,spain becoming third world american tourist almost killed migrants speaks via ,1
Non-Hate,maybe diversityor results western globalizationwar propaganda pentagon n hollywoodarming terroristsantigovt groupsrefugees good economy laborstraffickingeiffel tower glass many thingsbut peace ,0
Hate,wtf waiting ppl death us #buildthatwall,1
Non-Hate, switzerland people managed get referendum changing financial system promises karl marx end financial crisis come forever scheduled june th got signatures ,0
Hate, year refugee france cracks immigration numbers refugees get resources help uk swedens crime rate goes soaring young refugees rampage greece italy still forced take refugees,1
Non-Hate,whos gonna fight next war ap report us army quietly discharging immigrant recruits ,0
Non-Hate,ag sessions defends enforcing immigration laws ,0
Non-Hate,read article look brief proposed changes public charge rule join us kc aug discussion wnational immigration law center ,0
Hate,far push working people billion syrian refugees tax credits top peoples wages cut children starve,1
Non-Hate,trump admin considering immigration plan make best use taxpayer funds ,0
Hate,dreamer repeatedly raped young girl north carolina via #buildthewall #deathpenalty#childrape#protectus#keepamericasafe#nodaca,1
Hate, migrants get phone next load come mobile phones cost thing poor migrant phon,1
Non-Hate,#veterans first #refugeesnotwelcome #veteransbeforeillegals ,0
Hate, fact illegally makes criminals reward behavior coming freedom like free stuff give illeagals free stuff wouldnt #buildthatwall,1
Hate,trump stands victims immigrant violence ,1
Hate, deport illegal aliens kids back rd world nation #maga #buildthewall #nodaca #noamnesty #deportallofthem,1
Non-Hate,kurdish refugees staying stage skala sykamia refused enter transportation buses provided greek authorities upon rumors going taken back #moria apparently decided walk mytilene km away,0
Hate,boats shall drown mediterranean sea rest assimilated society leave immediately #refugeesnotwelcome #illegalaliens,1
Non-Hate,eminence imam sheikh dr farrokh sekaleshfar australian immigration sent hate preacher wont ,0
Non-Hate,latest #uk jury convicts jet ski migrant smugglers ,0
Hate, wake prepare stop evil dead tracks #sendthemback #deporttheundesirables #kickoutthelyers #savetheworldundertheonetruegod,1
Non-Hate,could completely change face refugee aid ,0
Non-Hate,lets keep america welcoming #wewelcomerefugees rcusa heartened th us circuit court appeals ruling ,0
Non-Hate,latest macedonian police find migrants inside truck ,0
Non-Hate,act warnot homicide ,0
Hate, would bet youre looking facts thats obfuscatepresident trump nato immigration taking europe know,1
Non-Hate,california changedwhen first moved california attracting kind iraqi refugees migrants ,0
Hate, address legal immigration wellthe racial interests majority long term must addressed without apology,1
Hate,ms gang member breaks brooklyn ny nd floor apartment rapes girl #buildthedamnwall #noamnesty #nodaca #illegalimmigration #illegalaliens #illegalalien #ms,1
Non-Hate,wonderful article present often misrepresented facts #refugees #asylumseekers coming #canada ,0
Non-Hate,#burundiin kigoma tanzanian authorities become hostile burundian refugees refugees small businesses closed last friday threatening tone kigoma governor told must return burundi many refugees fearful returning ,0
Non-Hate,im genuinely surprised see wings scotland supports mass uncontrolled immigration scotland lives england thinks failed asylum seekers stay uncapped welfare thinks mundell bigot wanting immigration law appliedwings cuck ,0
Non-Hate,didnt cover costs travel hundreds people would able open fresh claims submit extra evidence directly affecting chances receiving refugee status uk donate today ,0
Non-Hate,icrc lot work rohingya refugees return myanmar ,0
Non-Hate,last lines true decide gets come doesnt ,0
Hate,angry italian officials refuse let italian commercial ship disembark refugees amp migrants think let libyan coastguards intercept return inhumane detention centers instead ,1
Hate,anyone answer questionwhy ok country make lighthearted even offensive comments christianity similar comments islam considered islamophobic mainstream media#burqa #brexit #bitcoin #immigration #rtoday #saudiarabia,1
Non-Hate,trumpish view refugee resettlement obsessively antirefugee misleadingly named center immigration studies,0
Hate, real bho holder also killed officer brian terry #fastandfurious debacle many others died negligence#buildthewall#deportthemall #nodaca #noamnesty #noworkforewi,1
Non-Hate, loved article thanks amplifying voices many refugees jordan,0
Non-Hate,#makassar refugees locked days today want #indonesias president joko widodo know threat amp welcome please let children play amp adults need buy food duration visit please retweet amp email help ,0
Hate, time get americans belong theres hunger vets streets homeless poor homeless mental cases left without help dont need import allow anyone else country #americafirst #nodaca #,1
Hate, noreally refugee enrich cultures right bet ya hes older too#sendthemback late save europe,1
Non-Hate,tune debate homelessness amongst refugees find read briefing thank sponsoring debate important issue,0
Non-Hate,seriously ,0
Non-Hate,unfortunate racist tactics used migrant communities remember spreading fear cut funding vital services migrants healthcare education via ,0
Non-Hate,sports coverage like msm propaganda purposes onlywhat promoted right live world cup pre show story luka modri croatian soccer star refugeewhat really means white genocide defined,0
Non-Hate,greece search rescue operation migrant boat ,0
Hate,president obama #democrats illegal immigration victimless crime cost taxpayers lower wages #walkawayfromdemocrats #saturdaymorning #trump #maga #sendthemback,1
Non-Hate,#immigrants travel banaffected countries highly educated age ba higher compared nativeborn us citizens stay tuned full report next week ,0
Hate, numbers remarkably low previous years much higher bush years insanebut even lowest month definitely invasion#stoptheinvasion #securethebor,1
Non-Hate,worker charged molesting children immigrant shelter texas tribune ,0
Non-Hate,immigrant great country agree totally used years even long enough people need really appreciate given ,0
Non-Hate,even third americas black citizens shared views jason hill jamaican immigrant country democrat party currently constituted would exist ,0
Non-Hate,need protect refugees big ideas designed save ,0
Hate,illegal alien crimeis rampant first sanctuary state oregonthese statistic outrageous construed close poll us states #noamnesty #nodaca #deportthemall #protectuscitizens,1
Hate,know funny immigrant advocate tells go back home becuase like conservative immigrants,1
Non-Hate,follow pioneers swedish immigrant trail #chisagocounty #exploreminn,0
Hate,illegal immigrants bangladeshafg r playing havoc indiahigh time mamtaampimmigration office take noteif concern,1
Hate, families bring kids country illegally would cant afford #sendthemhome,1
Hate, ruth davidson ur neither christian people ur brutal welfare cuts snp please dont want migrants either,1
Non-Hate,chitown ,0
Hate,thank #ice #buildthatwall ,1
Non-Hate,syrian regime set dispossess massive numbers refugees homes according un criteria means agency cant facilitate return syria ,0
Hate, thats right man #favoritepresident #buildthewall #stoptheinvasion #americansfirst one flag one country ,1
Hate,stop illegals overcrowding us schools free lunch free breakfast obama free medical dental getting wic doesnt check immigration status never file asylum enter us #stopasylumscam #rednationrising #trump #maga #sendthemback ,1
Non-Hate,two faced boris hes power trip dosent care immigration may liar change l dont think,0
